,year,brand,funny,show_product_quickly,patriotic,celebrity,danger,animals,use_sex,view_count,like_count,dislike_count,comment_count,published_at,title,likes_per_view,dislikes_per_view,comment_per_view
99,2012,Hynudai,True,True,False,False,True,False,False,1264.0,2.0,0.0,0.0,2013-03-03T08:29:48Z,Hyundai Genesis Coupe 2012 commercial,0.16,0.0,0.0
100,2011,Hynudai,True,False,False,False,False,False,False,319.0,0.0,0.0,0.0,2015-07-07T22:49:30Z,Hyundai Elantra - Another version - Hypnotized  Super Bowl spot commercial 2016,0.0,0.0,0.0
103,2007,Bud Light,True,True,False,False,True,False,False,218329.0,309.0,8.0,29.0,2007-02-05T16:59:54Z,2007 Budweiser Super Bowl Commercial Rock-Paper-Scissors,0.14,0.0,0.01
104,2008,Hynudai,False,True,False,False,False,False,False,13312.0,18.0,11.0,24.0,2008-02-08T02:13:24Z,Hyundai SuperBowl Commercial: 2008Genesis vs. Mercedes & BMW,0.14,0.08,0.18
105,2010,NFL,False,False,True,False,False,False,False,91378.0,404.0,14.0,32.0,2010-02-08T03:02:38Z,NFL - Super Bowl XLIV Best Fans on the Planet (Reggie Bush Slow Motion),0.44,0.02,0.04
106,2005,Pepsi,True,True,False,False,False,False,False,111.0,0.0,0.0,0.0,2018-10-07T12:52:37Z,Pepsi iTunes Free Song Promotion (2005),0.0,0.0,0.0
107,2018,Budweiser,False,False,True,False,False,False,False,39897.0,138.0,8.0,8.0,2018-02-01T20:35:53Z,Budweiser 2018 Super Bowl Commercial  “Stand By You”,0.35,0.02,0.02
108,2018,Bud Light,True,True,False,False,True,True,False,33766.0,144.0,23.0,17.0,2021-01-15T17:41:05Z,Bud Light Legends - Bud Knight,0.43,0.07,0.05
109,2004,Bud Light,True,False,False,False,True,True,True,88445.0,118.0,6.0,8.0,2007-12-10T08:46:34Z,Bud Light Sleigh Ride Commercial,0.13,0.01,0.01
110,2002,Budweiser,True,False,False,False,False,False,False,13245.0,49.0,3.0,0.0,2010-09-03T04:47:38Z,Budweiser True Cards,0.37,0.02,0.0
111,2006,Budweiser,True,True,False,False,False,False,False,85274.0,78.0,16.0,10.0,2006-02-06T10:52:23Z,"Super Bowl 2006: Budweiser ""The Wave""",0.09,0.02,0.01
112,2014,Bud Light,False,True,False,True,False,True,True,134186.0,405.0,27.0,29.0,2014-01-31T22:14:41Z,Bud Light Super Bowl 2014 Commercial - FULL VERSION,0.3,0.02,0.02
113,2009,Coca-Cola,True,False,False,False,False,True,False,1452877.0,3511.0,296.0,523.0,2009-01-31T01:09:16Z,Coca-Cola Avatar,0.24,0.02,0.04
116,2014,Toyota,True,True,False,True,False,True,False,25834.0,140.0,5.0,18.0,2014-02-03T19:14:10Z,Toyota Highlander - Big Game Ad Starring Terry Crews and the Muppets 2014,0.54,0.02,0.07
117,2009,Bud Light,True,True,False,False,True,False,True,30123.0,33.0,2.0,6.0,2009-02-02T01:37:54Z,Bud Light - Skier Super Bowl XLIII Commercial 2009,0.11,0.01,0.02
118,2014,Kia,False,False,False,True,True,False,False,17209.0,198.0,2.0,10.0,2014-02-13T05:35:32Z,'The Truth'   Official Kia Quoris Morpheus Big Game Commercial 2014,1.15,0.01,0.06
119,2014,Hynudai,True,True,False,True,True,False,True,1874.0,20.0,0.0,0.0,2014-02-03T19:16:21Z,Nice - Hyundai Elantra - Super Bowl Commercial 2014,1.07,0.0,0.0
121,2008,Bud Light,True,True,False,False,False,False,False,598260.0,755.0,54.0,83.0,2008-02-01T22:34:12Z,Bud Light Wheel Suck Commercial,0.13,0.01,0.01
122,2003,Budweiser,True,True,False,False,False,False,False,27378.0,18.0,2.0,0.0,2010-01-04T19:29:19Z,Budweiser great listener,0.07,0.01,0.0
123,2013,Bud Light,True,True,False,True,False,False,False,394.0,1.0,0.0,0.0,2013-09-01T05:29:21Z,Super Bowl Ad 2013 Bud Light Journey Stevie Wonder,0.25,0.0,0.0
